fulldate,DateID,week day,Month ID,Month Discription,Year ID,Quarter ID,month_ind,year_ind
2017-05-26,20170526,4,5,May,2017,2,0,0
2017-05-27,20170527,5,5,May,2017,2,0,0
2017-05-28,20170528,6,5,May,2017,2,0,0
2017-05-29,20170529,0,5,May,2017,2,0,0
2017-05-30,20170530,1,5,May,2017,2,0,0
2017-05-31,20170531,2,5,May,2017,2,0,0
2017-06-01,20170601,3,6,June,2017,2,0,0
2017-06-02,20170602,4,6,June,2017,2,0,0
2017-06-03,20170603,5,6,June,2017,2,0,0
2017-06-04,20170604,6,6,June,2017,2,0,0
2017-06-05,20170605,0,6,June,2017,2,0,0
2017-06-06,20170606,1,6,June,2017,2,0,0
2017-06-07,20170607,2,6,June,2017,2,0,0
2017-06-08,20170608,3,6,June,2017,2,0,0
2017-06-09,20170609,4,6,June,2017,2,0,0
2017-06-10,20170610,5,6,June,2017,2,0,0
2017-06-11,20170611,6,6,June,2017,2,0,0
2017-06-12,20170612,0,6,June,2017,2,0,0
2017-06-13,20170613,1,6,June,2017,2,0,0
2017-06-14,20170614,2,6,June,2017,2,0,0
2017-06-15,20170615,3,6,June,2017,2,0,0
2017-06-16,20170616,4,6,June,2017,2,0,0
2017-06-17,20170617,5,6,June,2017,2,0,0
2017-06-18,20170618,6,6,June,2017,2,0,0
2017-06-19,20170619,0,6,June,2017,2,0,0
2017-06-20,20170620,1,6,June,2017,2,0,0
2017-06-21,20170621,2,6,June,2017,2,0,0
2017-06-22,20170622,3,6,June,2017,2,0,0
2017-06-23,20170623,4,6,June,2017,2,0,0
2017-06-24,20170624,5,6,June,2017,2,0,0
2017-06-25,20170625,6,6,June,2017,2,0,0
2017-06-26,20170626,0,6,June,2017,2,0,0
2017-06-27,20170627,1,6,June,2017,2,0,0
2017-06-28,20170628,2,6,June,2017,2,0,0
2017-06-29,20170629,3,6,June,2017,2,0,0
2017-06-30,20170630,4,6,June,2017,2,0,0
2017-07-01,20170701,5,7,July,2017,3,0,0
2017-07-02,20170702,6,7,July,2017,3,0,0
2017-07-03,20170703,0,7,July,2017,3,0,0
2017-07-04,20170704,1,7,July,2017,3,0,0
2017-07-05,20170705,2,7,July,2017,3,0,0
2017-07-06,20170706,3,7,July,2017,3,0,0
2017-07-07,20170707,4,7,July,2017,3,0,0
2017-07-08,20170708,5,7,July,2017,3,0,0
2017-07-09,20170709,6,7,July,2017,3,0,0
2017-07-10,20170710,0,7,July,2017,3,0,0
2017-07-11,20170711,1,7,July,2017,3,0,0
2017-07-12,20170712,2,7,July,2017,3,0,0
2017-07-13,20170713,3,7,July,2017,3,0,0
2017-07-14,20170714,4,7,July,2017,3,0,0
2017-07-15,20170715,5,7,July,2017,3,0,0
2017-07-16,20170716,6,7,July,2017,3,0,0
2017-07-17,20170717,0,7,July,2017,3,0,0
2017-07-18,20170718,1,7,July,2017,3,0,0
2017-07-19,20170719,2,7,July,2017,3,0,0
2017-07-20,20170720,3,7,July,2017,3,0,0
2017-07-21,20170721,4,7,July,2017,3,0,0
2017-07-22,20170722,5,7,July,2017,3,0,0
2017-07-23,20170723,6,7,July,2017,3,0,0
2017-07-24,20170724,0,7,July,2017,3,0,0
2017-07-25,20170725,1,7,July,2017,3,0,0
2017-07-26,20170726,2,7,July,2017,3,0,0
2017-07-27,20170727,3,7,July,2017,3,0,0
2017-07-28,20170728,4,7,July,2017,3,0,0
2017-07-29,20170729,5,7,July,2017,3,0,0
2017-07-30,20170730,6,7,July,2017,3,0,0
2017-07-31,20170731,0,7,July,2017,3,0,0
2017-08-01,20170801,1,8,August,2017,3,0,0
2017-08-02,20170802,2,8,August,2017,3,0,0
2017-08-03,20170803,3,8,August,2017,3,0,0
2017-08-04,20170804,4,8,August,2017,3,0,0
2017-08-05,20170805,5,8,August,2017,3,0,0
2017-08-06,20170806,6,8,August,2017,3,0,0
2017-08-07,20170807,0,8,August,2017,3,0,0
2017-08-08,20170808,1,8,August,2017,3,0,0
2017-08-09,20170809,2,8,August,2017,3,0,0
2017-08-10,20170810,3,8,August,2017,3,0,0
2017-08-11,20170811,4,8,August,2017,3,0,0
2017-08-12,20170812,5,8,August,2017,3,0,0
2017-08-13,20170813,6,8,August,2017,3,0,0
2017-08-14,20170814,0,8,August,2017,3,0,0
2017-08-15,20170815,1,8,August,2017,3,0,0
2017-08-16,20170816,2,8,August,2017,3,0,0
2017-08-17,20170817,3,8,August,2017,3,0,0
2017-08-18,20170818,4,8,August,2017,3,0,0
2017-08-19,20170819,5,8,August,2017,3,0,0
2017-08-20,20170820,6,8,August,2017,3,0,0
2017-08-21,20170821,0,8,August,2017,3,0,0
2017-08-22,20170822,1,8,August,2017,3,0,0
2017-08-23,20170823,2,8,August,2017,3,0,0
2017-08-24,20170824,3,8,August,2017,3,0,0
2017-08-25,20170825,4,8,August,2017,3,0,0
2017-08-26,20170826,5,8,August,2017,3,0,0
2017-08-27,20170827,6,8,August,2017,3,0,0
2017-08-28,20170828,0,8,August,2017,3,0,0
2017-08-29,20170829,1,8,August,2017,3,0,0
2017-08-30,20170830,2,8,August,2017,3,0,0
2017-08-31,20170831,3,8,August,2017,3,0,0
2017-09-01,20170901,4,9,September,2017,3,0,0
2017-09-02,20170902,5,9,September,2017,3,0,0
2017-09-03,20170903,6,9,September,2017,3,0,0
2017-09-04,20170904,0,9,September,2017,3,0,0
2017-09-05,20170905,1,9,September,2017,3,0,0
2017-09-06,20170906,2,9,September,2017,3,0,0
2017-09-07,20170907,3,9,September,2017,3,0,0
2017-09-08,20170908,4,9,September,2017,3,0,0
2017-09-09,20170909,5,9,September,2017,3,0,0
2017-09-10,20170910,6,9,September,2017,3,0,0
2017-09-11,20170911,0,9,September,2017,3,0,0
2017-09-12,20170912,1,9,September,2017,3,0,0
2017-09-13,20170913,2,9,September,2017,3,0,0
2017-09-14,20170914,3,9,September,2017,3,0,0
2017-09-15,20170915,4,9,September,2017,3,0,0
2017-09-16,20170916,5,9,September,2017,3,0,0
2017-09-17,20170917,6,9,September,2017,3,0,0
2017-09-18,20170918,0,9,September,2017,3,0,0
2017-09-19,20170919,1,9,September,2017,3,0,0
2017-09-20,20170920,2,9,September,2017,3,0,0
2017-09-21,20170921,3,9,September,2017,3,0,0
2017-09-22,20170922,4,9,September,2017,3,0,0
2017-09-23,20170923,5,9,September,2017,3,0,0
2017-09-24,20170924,6,9,September,2017,3,0,0
2017-09-25,20170925,0,9,September,2017,3,0,0
2017-09-26,20170926,1,9,September,2017,3,0,0
2017-09-27,20170927,2,9,September,2017,3,0,0
2017-09-28,20170928,3,9,September,2017,3,0,0
2017-09-29,20170929,4,9,September,2017,3,0,0
2017-09-30,20170930,5,9,September,2017,3,0,0
2017-10-01,20171001,6,10,October,2017,4,0,0
2017-10-02,20171002,0,10,October,2017,4,0,0
2017-10-03,20171003,1,10,October,2017,4,0,0
2017-10-04,20171004,2,10,October,2017,4,0,0
2017-10-05,20171005,3,10,October,2017,4,0,0
2017-10-06,20171006,4,10,October,2017,4,0,0
2017-10-07,20171007,5,10,October,2017,4,0,0
2017-10-08,20171008,6,10,October,2017,4,0,0
2017-10-09,20171009,0,10,October,2017,4,0,0
2017-10-10,20171010,1,10,October,2017,4,0,0
2017-10-11,20171011,2,10,October,2017,4,0,0
2017-10-12,20171012,3,10,October,2017,4,0,0
2017-10-13,20171013,4,10,October,2017,4,0,0
2017-10-14,20171014,5,10,October,2017,4,0,0
2017-10-15,20171015,6,10,October,2017,4,0,0
2017-10-16,20171016,0,10,October,2017,4,0,0
